,res1,res2,cont1,cont2,s:e,position1,position2,sorted,result,s1,s2,season,episode,prediction,pt_preds,binary_pred,pred_correct,r1,r2
549,3.0,2.0,Bebe Zahara Benet,Ongina,1:1,SAFE,HIGH,"[['Bebe Zahara Benet', 'Ongina'], '1:1']",0,0,1,1.0,1.0,0.21307512036623832,0.9930430947249236,0,1,"trueskill.Rating(mu=20.604, sigma=7.171)","trueskill.Rating(mu=28.768, sigma=5.742)"
564,3.0,2.0,Shannel,Ongina,1:1,SAFE,HIGH,"[['Ongina', 'Shannel'], '1:1']",0,0,1,1.0,1.0,0.2154611987362136,0.3122634594906454,0,1,"trueskill.Rating(mu=22.116, sigma=7.253)","trueskill.Rating(mu=30.041, sigma=5.362)"
573,4.0,2.0,Rebecca Glasscock,Ongina,1:1,LOW,HIGH,"[['Ongina', 'Rebecca Glasscock'], '1:1']",0,0,1,1.0,1.0,0.2063062291197622,0.7137604696759778,0,1,"trueskill.Rating(mu=23.006, sigma=7.401)","trueskill.Rating(mu=31.181, sigma=5.042)"
580,3.0,2.0,Tammie Brown,Ongina,1:1,SAFE,HIGH,"[['Ongina', 'Tammie Brown'], '1:1']",0,0,1,1.0,1.0,0.13483662969739743,2.1790031882967914e-10,0,1,"trueskill.Rating(mu=21.542, sigma=7.201)","trueskill.Rating(mu=32.165, sigma=4.780)"
630,6.0,2.0,"Victoria ""Porkchop"" Parker",Ongina,1:1,ELIM,HIGH,"[['Ongina', 'Victoria ""Porkchop"" Parker'], '1:1']",0,0,1,1.0,1.0,0.14860834349560156,9.352443797939857e-14,0,1,"trueskill.Rating(mu=22.790, sigma=7.356)","trueskill.Rating(mu=32.839, sigma=4.583)"
924,6.0,3.0,"Victoria ""Porkchop"" Parker",Tammie Brown,1:1,ELIM,SAFE,"[['Tammie Brown', 'Victoria ""Porkchop"" Parker'], '1:1']",0,0,1,1.0,1.0,0.5411222080426863,0.01036460705411162,1,0,"trueskill.Rating(mu=21.081, sigma=6.585)","trueskill.Rating(mu=20.012, sigma=6.508)"
934,4.0,3.0,Rebecca Glasscock,Bebe Zahara Benet,1:1,LOW,SAFE,"[['Bebe Zahara Benet', 'Rebecca Glasscock'], '1:1']",0,0,1,1.0,1.0,0.587550158862802,0.0212237672789053,1,0,"trueskill.Rating(mu=20.886, sigma=6.540)","trueskill.Rating(mu=18.620, sigma=6.414)"
953,4.0,3.0,Rebecca Glasscock,Tammie Brown,1:1,LOW,SAFE,"[['Rebecca Glasscock', 'Tammie Brown'], '1:1']",0,0,1,1.0,1.0,0.23528175544499294,0.9999999999983533,0,1,"trueskill.Rating(mu=17.031, sigma=5.666)","trueskill.Rating(mu=23.508, sigma=5.689)"
955,4.0,3.0,Rebecca Glasscock,Jade,1:1,LOW,SAFE,"[['Jade', 'Rebecca Glasscock'], '1:1']",0,0,1,1.0,1.0,0.34468320168803823,0.9999966016800202,0,1,"trueskill.Rating(mu=15.513, sigma=5.195)","trueskill.Rating(mu=19.207, sigma=6.443)"
965,4.0,3.0,Rebecca Glasscock,Shannel,1:1,LOW,SAFE,"[['Rebecca Glasscock', 'Shannel'], '1:1']",0,0,1,1.0,1.0,0.24542569142048223,0.866256970842072,0,1,"trueskill.Rating(mu=13.859, sigma=4.794)","trueskill.Rating(mu=20.030, sigma=6.439)"
973,6.0,3.0,"Victoria ""Porkchop"" Parker",Shannel,1:1,ELIM,SAFE,"[['Shannel', 'Victoria ""Porkchop"" Parker'], '1:1']",0,0,1,1.0,1.0,0.3076769367725578,3.7096314562651406e-13,0,1,"trueskill.Rating(mu=17.502, sigma=5.735)","trueskill.Rating(mu=22.054, sigma=5.725)"
991,6.0,3.0,"Victoria ""Porkchop"" Parker",Jade,1:1,ELIM,SAFE,"[['Jade', 'Victoria ""Porkchop"" Parker'], '1:1']",0,0,1,1.0,1.0,0.23776859268076633,1.1587391636403655e-06,0,1,"trueskill.Rating(mu=15.622, sigma=5.198)","trueskill.Rating(mu=21.750, sigma=5.659)"
992,6.0,3.0,"Victoria ""Porkchop"" Parker",Bebe Zahara Benet,1:1,ELIM,SAFE,"[['Bebe Zahara Benet', 'Victoria ""Porkchop"" Parker'], '1:1']",0,0,1,1.0,1.0,0.16446692294429513,8.512293498416931e-20,0,1,"trueskill.Rating(mu=14.281, sigma=4.811)","trueskill.Rating(mu=22.327, sigma=5.592)"
996,5.0,3.0,Akashia,Tammie Brown,1:1,BTM2,SAFE,"[['Akashia', 'Tammie Brown'], '1:1']",0,0,1,1.0,1.0,0.2916954788935665,0.6247474197508389,0,1,"trueskill.Rating(mu=19.960, sigma=6.450)","trueskill.Rating(mu=25.039, sigma=5.212)"
997,5.0,3.0,Akashia,Jade,1:1,BTM2,SAFE,"[['Akashia', 'Jade'], '1:1']",0,0,1,1.0,1.0,0.25682404618687565,0.005219633476085904,0,1,"trueskill.Rating(mu=17.720, sigma=5.717)","trueskill.Rating(mu=23.340, sigma=5.155)"
1000,5.0,3.0,Akashia,Shannel,1:1,BTM2,SAFE,"[['Akashia', 'Shannel'], '1:1']",0,0,1,1.0,1.0,0.1671357469690433,4.838315662734469e-09,0,1,"trueskill.Rating(mu=16.009, sigma=5.182)","trueskill.Rating(mu=23.927, sigma=5.191)"
1002,5.0,3.0,Akashia,Bebe Zahara Benet,1:1,BTM2,SAFE,"[['Akashia', 'Bebe Zahara Benet'], '1:1']",0,0,1,1.0,1.0,0.1358215156684454,1.1263403275053947e-16,0,1,"trueskill.Rating(mu=14.914, sigma=4.825)","trueskill.Rating(mu=23.582, sigma=5.146)"
1260,6.0,4.0,"Victoria ""Porkchop"" Parker",Rebecca Glasscock,1:1,ELIM,LOW,"[['Rebecca Glasscock', 'Victoria ""Porkchop"" Parker'], '1:1']",0,0,1,1.0,1.0,0.5342803425869698,1.3822845720306552e-15,1,0,"trueskill.Rating(mu=13.352, sigma=4.531)","trueskill.Rating(mu=12.737, sigma=4.507)"
1309,5.0,4.0,Akashia,Rebecca Glasscock,1:1,BTM2,LOW,"[['Akashia', 'Rebecca Glasscock'], '1:1']",0,0,1,1.0,1.0,0.4538816774624344,9.585004894635203e-12,0,1,"trueskill.Rating(mu=14.049, sigma=4.544)","trueskill.Rating(mu=14.840, sigma=4.082)"
1454,6.0,5.0,"Victoria ""Porkchop"" Parker",Akashia,1:1,ELIM,BTM2,"[['Akashia', 'Victoria ""Porkchop"" Parker'], '1:1']",0,0,1,1.0,1.0,0.44546324053200215,0.004790470537870476,0,1,"trueskill.Rating(mu=11.227, sigma=4.099)","trueskill.Rating(mu=12.117, sigma=4.110)"
0,3.0,1.0,Bebe Zahara Benet,Nina Flowers,1:1.0,SAFE,WIN,"[['Bebe Zahara Benet', 'Nina Flowers'], '1:1.0']",0,0,1,1.0,1.0,0.036758651714879985,0.2032517836300831,0,1,"trueskill.Rating(mu=24.566, sigma=4.804)","trueskill.Rating(mu=38.048, sigma=4.725)"
1432,5.0,1.0,Akashia,Nina Flowers,1:1.0,BTM2,WIN,"[['Akashia', 'Nina Flowers'], '1:1.0']",0,0,1,1.0,1.0,9.297580951601317e-05,1.881095594473431e-18,0,1,"trueskill.Rating(mu=13.723, sigma=3.776)","trueskill.Rating(mu=38.440, sigma=4.560)"
1444,3.0,1.0,Jade,Nina Flowers,1:1.0,SAFE,WIN,"[['Jade', 'Nina Flowers'], '1:1.0']",0,0,1,1.0,1.0,0.03121377438733855,5.072949678369226e-12,0,1,"trueskill.Rating(mu=24.732, sigma=4.767)","trueskill.Rating(mu=38.456, sigma=4.548)"
1450,3.0,1.0,Tammie Brown,Nina Flowers,1:1.0,SAFE,WIN,"[['Nina Flowers', 'Tammie Brown'], '1:1.0']",0,0,1,1.0,1.0,0.046263826108543245,2.829971935921629e-19,0,1,"trueskill.Rating(mu=26.501, sigma=4.834)","trueskill.Rating(mu=38.798, sigma=4.404)"
1460,6.0,1.0,"Victoria ""Porkchop"" Parker",Nina Flowers,1:1.0,ELIM,WIN,"[['Nina Flowers', 'Victoria ""Porkchop"" Parker'], '1:1.0']",0,0,1,1.0,1.0,1.5743746505385493e-06,2.4458060070400128e-21,0,1,"trueskill.Rating(mu=9.629, sigma=3.768)","trueskill.Rating(mu=39.208, sigma=4.248)"
1516,4.0,1.0,Rebecca Glasscock,Nina Flowers,1:1.0,LOW,WIN,"[['Nina Flowers', 'Rebecca Glasscock'], '1:1.0']",0,0,1,1.0,1.0,0.00016334606370621744,0.0025300854013595576,0,1,"trueskill.Rating(mu=16.400, sigma=3.771)","trueskill.Rating(mu=39.210, sigma=4.248)"
1522,2.0,1.0,Ongina,Nina Flowers,1:1.0,HIGH,WIN,"[['Nina Flowers', 'Ongina'], '1:1.0']",0,0,1,1.0,1.0,0.20065782057235892,0.0007390313106049826,0,1,"trueskill.Rating(mu=33.503, sigma=4.404)","trueskill.Rating(mu=39.233, sigma=4.232)"
1533,3.0,1.0,Shannel,Nina Flowers,1:1.0,SAFE,WIN,"[['Nina Flowers', 'Shannel'], '1:1.0']",0,0,1,1.0,1.0,0.014800840153419908,7.537375601917229e-05,0,1,"trueskill.Rating(mu=25.026, sigma=4.831)","trueskill.Rating(mu=40.215, sigma=3.967)"
3943,6.0,2.0,"Victoria ""Porkchop"" Parker",Ongina,1:1.0,ELIM,HIGH,"[['Ongina', 'Victoria ""Porkchop"" Parker'], '1:1.0']",0,0,1,1.0,1.0,0.00012450046901456025,9.352443797939857e-14,0,1,"trueskill.Rating(mu=9.627, sigma=3.767)","trueskill.Rating(mu=32.440, sigma=4.104)"
3946,4.0,2.0,Rebecca Glasscock,Ongina,1:1.0,LOW,HIGH,"[['Ongina', 'Rebecca Glasscock'], '1:1.0']",0,0,1,1.0,1.0,0.0048166401993184485,0.7137604696759778,0,1,"trueskill.Rating(mu=16.381, sigma=3.761)","trueskill.Rating(mu=32.460, sigma=4.090)"
3959,3.0,2.0,Shannel,Ongina,1:1.0,SAFE,HIGH,"[['Ongina', 'Shannel'], '1:1.0']",0,0,1,1.0,1.0,0.12769600059364206,0.3122634594906454,0,1,"trueskill.Rating(mu=24.750, sigma=4.691)","trueskill.Rating(mu=32.602, sigma=4.021)"
3974,3.0,2.0,Bebe Zahara Benet,Ongina,1:1.0,SAFE,HIGH,"[['Bebe Zahara Benet', 'Ongina'], '1:1.0']",0,0,1,1.0,1.0,0.08732748877558007,0.9930430947249236,0,1,"trueskill.Rating(mu=24.161, sigma=4.630)","trueskill.Rating(mu=33.271, sigma=3.830)"
4002,3.0,2.0,Tammie Brown,Ongina,1:1.0,SAFE,HIGH,"[['Ongina', 'Tammie Brown'], '1:1.0']",0,0,1,1.0,1.0,0.11960700151922839,2.1790031882967914e-10,0,1,"trueskill.Rating(mu=26.007, sigma=4.627)","trueskill.Rating(mu=33.776, sigma=3.680)"
4013,5.0,2.0,Akashia,Ongina,1:1.0,BTM2,HIGH,"[['Akashia', 'Ongina'], '1:1.0']",0,0,1,1.0,1.0,0.00017569350491839316,1.1007590639542534e-09,0,1,"trueskill.Rating(mu=13.712, sigma=3.770)","trueskill.Rating(mu=34.344, sigma=3.529)"
4028,3.0,2.0,Jade,Ongina,1:1.0,SAFE,HIGH,"[['Jade', 'Ongina'], '1:1.0']",0,0,1,1.0,1.0,0.060637637324562045,8.556800394332569e-05,0,1,"trueskill.Rating(mu=24.356, sigma=4.602)","trueskill.Rating(mu=34.370, sigma=3.515)"
5177,6.0,3.0,"Victoria ""Porkchop"" Parker",Jade,1:1.0,ELIM,SAFE,"[['Jade', 'Victoria ""Porkchop"" Parker'], '1:1.0']",0,0,1,1.0,1.0,0.014042831417558346,1.1587391636403655e-06,0,1,"trueskill.Rating(mu=9.610, sigma=3.757)","trueskill.Rating(mu=23.729, sigma=4.357)"
5179,6.0,3.0,"Victoria ""Porkchop"" Parker",Tammie Brown,1:1.0,ELIM,SAFE,"[['Tammie Brown', 'Victoria ""Porkchop"" Parker'], '1:1.0']",0,0,1,1.0,1.0,0.006674342746343329,0.01036460705411162,0,1,"trueskill.Rating(mu=9.417, sigma=3.681)","trueskill.Rating(mu=25.110, sigma=4.321)"
5219,6.0,3.0,"Victoria ""Porkchop"" Parker",Shannel,1:1.0,ELIM,SAFE,"[['Shannel', 'Victoria ""Porkchop"" Parker'], '1:1.0']",0,0,1,1.0,1.0,0.011035706317111146,3.7096314562651406e-13,0,1,"trueskill.Rating(mu=9.288, sigma=3.626)","trueskill.Rating(mu=23.838, sigma=4.385)"
5221,4.0,3.0,Rebecca Glasscock,Bebe Zahara Benet,1:1.0,LOW,SAFE,"[['Bebe Zahara Benet', 'Rebecca Glasscock'], '1:1.0']",0,0,1,1.0,1.0,0.13141822107852513,0.0212237672789053,0,1,"trueskill.Rating(mu=16.262, sigma=3.707)","trueskill.Rating(mu=23.423, sigma=4.362)"
5223,4.0,3.0,Rebecca Glasscock,Shannel,1:1.0,LOW,SAFE,"[['Rebecca Glasscock', 'Shannel'], '1:1.0']",0,0,1,1.0,1.0,0.08653828772447046,0.866256970842072,0,1,"trueskill.Rating(mu=15.634, sigma=3.540)","trueskill.Rating(mu=24.075, sigma=4.271)"
5226,4.0,3.0,Rebecca Glasscock,Jade,1:1.0,LOW,SAFE,"[['Jade', 'Rebecca Glasscock'], '1:1.0']",0,0,1,1.0,1.0,0.07297590952238514,0.9999966016800202,0,1,"trueskill.Rating(mu=15.160, sigma=3.408)","trueskill.Rating(mu=23.989, sigma=4.237)"
5228,4.0,3.0,Rebecca Glasscock,Tammie Brown,1:1.0,LOW,SAFE,"[['Rebecca Glasscock', 'Tammie Brown'], '1:1.0']",0,0,1,1.0,1.0,0.03913928737791923,0.9999999999983533,0,1,"trueskill.Rating(mu=14.748, sigma=3.294)","trueskill.Rating(mu=25.287, sigma=4.231)"
5245,5.0,3.0,Akashia,Shannel,1:1.0,BTM2,SAFE,"[['Akashia', 'Shannel'], '1:1.0']",0,0,1,1.0,1.0,0.036036390514616934,4.838315662734469e-09,0,1,"trueskill.Rating(mu=13.683, sigma=3.753)","trueskill.Rating(mu=24.765, sigma=4.036)"
5247,5.0,3.0,Akashia,Jade,1:1.0,BTM2,SAFE,"[['Akashia', 'Jade'], '1:1.0']",0,0,1,1.0,1.0,0.03116496133053042,0.005219633476085904,0,1,"trueskill.Rating(mu=13.343, sigma=3.635)","trueskill.Rating(mu=24.626, sigma=4.014)"
5250,5.0,3.0,Akashia,Tammie Brown,1:1.0,BTM2,SAFE,"[['Akashia', 'Tammie Brown'], '1:1.0']",0,0,1,1.0,1.0,0.01700917951956973,0.6247474197508389,0,1,"trueskill.Rating(mu=13.037, sigma=3.530)","trueskill.Rating(mu=25.760, sigma=4.047)"
5258,6.0,3.0,"Victoria ""Porkchop"" Parker",Bebe Zahara Benet,1:1.0,ELIM,SAFE,"[['Bebe Zahara Benet', 'Victoria ""Porkchop"" Parker'], '1:1.0']",0,0,1,1.0,1.0,0.006151195745932453,8.512293498416931e-20,0,1,"trueskill.Rating(mu=9.126, sigma=3.563)","trueskill.Rating(mu=24.293, sigma=4.087)"
5260,5.0,3.0,Akashia,Bebe Zahara Benet,1:1.0,BTM2,SAFE,"[['Akashia', 'Bebe Zahara Benet'], '1:1.0']",0,0,1,1.0,1.0,0.024383463384902094,1.1263403275053947e-16,0,1,"trueskill.Rating(mu=12.821, sigma=3.452)","trueskill.Rating(mu=24.464, sigma=4.005)"
6891,6.0,4.0,"Victoria ""Porkchop"" Parker",Rebecca Glasscock,1:1.0,ELIM,LOW,"[['Rebecca Glasscock', 'Victoria ""Porkchop"" Parker'], '1:1.0']",0,0,1,1.0,1.0,0.15193188488608192,1.3822845720306552e-15,0,1,"trueskill.Rating(mu=8.997, sigma=3.509)","trueskill.Rating(mu=14.461, sigma=3.208)"
7168,5.0,4.0,Akashia,Rebecca Glasscock,1:1.0,BTM2,LOW,"[['Akashia', 'Rebecca Glasscock'], '1:1.0']",0,0,1,1.0,1.0,0.3114723685567279,9.585004894635203e-12,0,1,"trueskill.Rating(mu=12.567, sigma=3.366)","trueskill.Rating(mu=15.070, sigma=3.068)"
7683,6.0,5.0,"Victoria ""Porkchop"" Parker",Akashia,1:1.0,ELIM,BTM2,"[['Akashia', 'Victoria ""Porkchop"" Parker'], '1:1.0']",0,0,1,1.0,1.0,0.2597101020826595,0.004790470537870476,0,1,"trueskill.Rating(mu=8.268, sigma=3.324)","trueskill.Rating(mu=11.572, sigma=3.161)"
275,7.0,1.0,"Victoria ""Porkchop"" Parker",Ongina,1:2,,WIN,"[['Ongina', 'Victoria ""Porkchop"" Parker'], '1:2']",0,0,1,1.0,2.0,6.413654918613679e-08,9.352443797939857e-14,0,1,"trueskill.Rating(mu=7.391, sigma=3.137)","trueskill.Rating(mu=34.736, sigma=3.408)"
276,2.0,1.0,Shannel,Ongina,1:2,HIGH,WIN,"[['Ongina', 'Shannel'], '1:2']",0,0,1,1.0,2.0,0.048711596440433345,0.3122634594906454,0,1,"trueskill.Rating(mu=25.159, sigma=3.889)","trueskill.Rating(mu=34.737, sigma=3.408)"
286,5.0,1.0,Akashia,Ongina,1:2,BTM2,WIN,"[['Akashia', 'Ongina'], '1:2']",0,0,1,1.0,2.0,2.5639282814980686e-06,1.1007590639542534e-09,0,1,"trueskill.Rating(mu=12.366, sigma=3.000)","trueskill.Rating(mu=35.097, sigma=3.300)"
290,3.0,1.0,Bebe Zahara Benet,Ongina,1:2,SAFE,WIN,"[['Bebe Zahara Benet', 'Ongina'], '1:2']",0,0,1,1.0,2.0,0.03490870778591296,0.9930430947249236,0,1,"trueskill.Rating(mu=24.806, sigma=3.870)","trueskill.Rating(mu=35.104, sigma=3.296)"
296,2.0,1.0,Rebecca Glasscock,Ongina,1:2,HIGH,WIN,"[['Ongina', 'Rebecca Glasscock'], '1:2']",0,0,1,1.0,2.0,2.8254153563496965e-05,0.7137604696759778,0,1,"trueskill.Rating(mu=15.897, sigma=2.914)","trueskill.Rating(mu=35.398, sigma=3.207)"
304,2.0,1.0,Nina Flowers,Ongina,1:2,HIGH,WIN,"[['Nina Flowers', 'Ongina'], '1:2']",0,0,1,1.0,2.0,0.8121822036053262,0.9992609686893951,1,0,"trueskill.Rating(mu=40.401, sigma=3.890)","trueskill.Rating(mu=35.419, sigma=3.196)"
310,6.0,1.0,Tammie Brown,Ongina,1:2,ELIM,WIN,"[['Ongina', 'Tammie Brown'], '1:2']",0,0,1,1.0,2.0,0.02169940499468734,2.1790031882967914e-10,0,1,"trueskill.Rating(mu=26.044, sigma=3.928)","trueskill.Rating(mu=37.159, sigma=2.981)"
317,3.0,1.0,Jade,Ongina,1:2,SAFE,WIN,"[['Jade', 'Ongina'], '1:2']",0,0,1,1.0,2.0,0.011174118145105062,8.556800394332569e-05,0,1,"trueskill.Rating(mu=24.998, sigma=3.872)","trueskill.Rating(mu=37.363, sigma=2.921)"
342,7.0,2.0,"Victoria ""Porkchop"" Parker",Nina Flowers,1:2,,HIGH,"[['Nina Flowers', 'Victoria ""Porkchop"" Parker'], '1:2']",0,0,1,1.0,2.0,3.353686188569513e-09,2.4458060070400128e-21,0,1,"trueskill.Rating(mu=7.390, sigma=3.137)","trueskill.Rating(mu=37.824, sigma=3.495)"
347,7.0,2.0,"Victoria ""Porkchop"" Parker",Shannel,1:2,,HIGH,"[['Shannel', 'Victoria ""Porkchop"" Parker'], '1:2']",0,0,1,1.0,2.0,0.0007407266384367918,3.7096314562651406e-13,0,1,"trueskill.Rating(mu=7.389, sigma=3.138)","trueskill.Rating(mu=24.690, sigma=3.727)"
349,7.0,2.0,"Victoria ""Porkchop"" Parker",Rebecca Glasscock,1:2,,HIGH,"[['Rebecca Glasscock', 'Victoria ""Porkchop"" Parker'], '1:2']",0,0,1,1.0,2.0,0.036503291779852634,1.3822845720306552e-15,0,1,"trueskill.Rating(mu=7.339, sigma=3.117)","trueskill.Rating(mu=15.879, sigma=2.906)"
356,5.0,2.0,Akashia,Rebecca Glasscock,1:2,BTM2,HIGH,"[['Akashia', 'Rebecca Glasscock'], '1:2']",0,0,1,1.0,2.0,0.20320207077280858,9.585004894635203e-12,0,1,"trueskill.Rating(mu=12.360, sigma=2.998)","trueskill.Rating(mu=16.183, sigma=2.825)"
357,5.0,2.0,Akashia,Nina Flowers,1:2,BTM2,HIGH,"[['Akashia', 'Nina Flowers'], '1:2']",0,0,1,1.0,2.0,1.0742495677357851e-07,1.881095594473431e-18,0,1,"trueskill.Rating(mu=11.676, sigma=2.857)","trueskill.Rating(mu=37.824, sigma=3.495)"
364,5.0,2.0,Akashia,Shannel,1:2,BTM2,HIGH,"[['Akashia', 'Shannel'], '1:2']",0,0,1,1.0,2.0,0.006002692641841842,4.838315662734469e-09,0,1,"trueskill.Rating(mu=11.675, sigma=2.857)","trueskill.Rating(mu=24.760, sigma=3.690)"
373,3.0,2.0,Jade,Shannel,1:2,SAFE,HIGH,"[['Jade', 'Shannel'], '1:2']",0,0,1,1.0,2.0,0.48475834816112423,0.00031128486902035356,0,1,"trueskill.Rating(mu=24.736, sigma=3.761)","trueskill.Rating(mu=24.958, sigma=3.605)"
374,3.0,2.0,Jade,Rebecca Glasscock,1:2,SAFE,HIGH,"[['Jade', 'Rebecca Glasscock'], '1:2']",0,0,1,1.0,2.0,0.904765984058849,3.398319979706949e-06,1,0,"trueskill.Rating(mu=23.224, sigma=3.471)","trueskill.Rating(mu=16.790, sigma=2.707)"
380,6.0,2.0,Tammie Brown,Shannel,1:2,ELIM,HIGH,"[['Shannel', 'Tammie Brown'], '1:2']",0,0,1,1.0,2.0,0.45378635294480135,9.63844177699073e-10,0,1,"trueskill.Rating(mu=25.691, sigma=3.789)","trueskill.Rating(mu=26.347, sigma=3.350)"
382,6.0,2.0,Tammie Brown,Rebecca Glasscock,1:2,ELIM,HIGH,"[['Rebecca Glasscock', 'Tammie Brown'], '1:2']",0,0,1,1.0,2.0,0.8896810193690335,1.6466322500375884e-12,1,0,"trueskill.Rating(mu=24.202, sigma=3.489)","trueskill.Rating(mu=18.291, sigma=2.558)"
396,6.0,2.0,Tammie Brown,Nina Flowers,1:2,ELIM,HIGH,"[['Nina Flowers', 'Tammie Brown'], '1:2']",0,0,1,1.0,2.0,0.0011578828986406721,2.829971935921629e-19,0,1,"trueskill.Rating(mu=21.781, sigma=3.161)","trueskill.Rating(mu=37.826, sigma=3.495)"
493,3.0,2.0,Jade,Nina Flowers,1:2,SAFE,HIGH,"[['Jade', 'Nina Flowers'], '1:2']",0,0,1,1.0,2.0,0.000513351960992803,5.072949678369226e-12,0,1,"trueskill.Rating(mu=20.757, sigma=3.148)","trueskill.Rating(mu=37.910, sigma=3.455)"
649,3.0,2.0,Bebe Zahara Benet,Nina Flowers,1:2,SAFE,HIGH,"[['Bebe Zahara Benet', 'Nina Flowers'], '1:2']",0,0,1,1.0,2.0,0.008205211933235139,0.2032517836300831,0,1,"trueskill.Rating(mu=24.400, sigma=3.723)","trueskill.Rating(mu=37.970, sigma=3.425)"
664,3.0,2.0,Bebe Zahara Benet,Shannel,1:2,SAFE,HIGH,"[['Bebe Zahara Benet', 'Shannel'], '1:2']",0,0,1,1.0,2.0,0.26957241219267425,0.9989197371701801,0,1,"trueskill.Rating(mu=24.208, sigma=3.642)","trueskill.Rating(mu=27.511, sigma=3.146)"
667,3.0,2.0,Bebe Zahara Benet,Rebecca Glasscock,1:2,SAFE,HIGH,"[['Bebe Zahara Benet', 'Rebecca Glasscock'], '1:2']",0,0,1,1.0,2.0,0.7783152179459885,0.9787762327210947,1,0,"trueskill.Rating(mu=23.168, sigma=3.402)","trueskill.Rating(mu=19.593, sigma=2.432)"
1071,7.0,3.0,"Victoria ""Porkchop"" Parker",Bebe Zahara Benet,1:2,,SAFE,"[['Bebe Zahara Benet', 'Victoria ""Porkchop"" Parker'], '1:2']",0,0,1,1.0,2.0,0.001644303324982603,8.512293498416931e-20,0,1,"trueskill.Rating(mu=6.990, sigma=3.016)","trueskill.Rating(mu=21.224, sigma=3.109)"
1093,7.0,3.0,"Victoria ""Porkchop"" Parker",Jade,1:2,,SAFE,"[['Jade', 'Victoria ""Porkchop"" Parker'], '1:2']",0,0,1,1.0,2.0,0.002115732011494666,1.1587391636403655e-06,0,1,"trueskill.Rating(mu=6.896, sigma=2.980)","trueskill.Rating(mu=20.707, sigma=3.126)"
1171,5.0,3.0,Akashia,Jade,1:2,BTM2,SAFE,"[['Akashia', 'Jade'], '1:2']",0,0,1,1.0,2.0,0.02362637805525007,0.005219633476085904,0,1,"trueskill.Rating(mu=11.557, sigma=2.819)","trueskill.Rating(mu=20.819, sigma=3.082)"
